card1,card2,board,score
A of Hearts,9 of Spades,8 of Spades | J of Hearts | 5 of Clubs | A of Clubs | 3 of Clubs,3434
9 of Clubs,5 of Hearts,6 of Clubs | 9 of Diamonds | 10 of Spades | 3 of Clubs | 6 of Diamonds,3044
4 of Diamonds,5 of Hearts,A of Spades | 10 of Clubs | A of Clubs | 10 of Hearts | 7 of Spades,2506
2 of Clubs,A of Spades,A of Diamonds | 8 of Spades | A of Clubs | A of Hearts | Q of Hearts,12
K of Clubs,3 of Clubs,9 of Diamonds | A of Spades | Q of Diamonds | 8 of Hearts | 10 of Spades,6194
4 of Spades,Q of Diamonds,6 of Clubs | 4 of Hearts | 7 of Hearts | 9 of Diamonds | 8 of Hearts,5641
7 of Diamonds,8 of Diamonds,9 of Hearts | Q of Clubs | A of Diamonds | Q of Diamonds | 5 of Diamonds,573
9 of Hearts,2 of Hearts,Q of Hearts | 2 of Spades | Q of Spades | 4 of Spades | 4 of Hearts,2802
Q of Spades,5 of Diamonds,10 of Spades | Q of Clubs | 2 of Hearts | 2 of Spades | 3 of Hearts,2823
A of Spades,3 of Clubs,Q of Diamonds | 3 of Spades | 2 of Diamonds | 2 of Clubs | K of Spades,3315
9 of Spades,Q of Diamonds,7 of Diamonds | 3 of Spades | 10 of Spades | K of Diamonds | 7 of Clubs,4922
J of Hearts,4 of Clubs,10 of Hearts | 7 of Hearts | Q of Diamonds | Q of Hearts | 7 of Clubs,2767
A of Clubs,5 of Diamonds,9 of Hearts | 7 of Spades | A of Hearts | 4 of Diamonds | 10 of Spades,3463
5 of Hearts,A of Spades,7 of Hearts | 7 of Diamonds | A of Clubs | Q of Diamonds | 9 of Hearts,2535
K of Clubs,K of Hearts,2 of Clubs | 10 of Hearts | 7 of Diamonds | J of Spades | 10 of Spades,2624
A of Clubs,8 of Hearts,7 of Clubs | K of Clubs | 10 of Hearts | 6 of Diamonds | A of Spades,3346
9 of Spades,2 of Hearts,6 of Clubs | 10 of Spades | K of Hearts | 2 of Diamonds | 9 of Clubs,3085
5 of Hearts,7 of Hearts,8 of Spades | A of Spades | 5 of Spades | A of Hearts | 8 of Hearts,2528
5 of Clubs,10 of Clubs,2 of Diamonds | 4 of Hearts | 5 of Spades | 4 of Clubs | 4 of Spades,296
6 of Hearts,5 of Clubs,K of Hearts | 8 of Hearts | 4 of Clubs | A of Clubs | 5 of Spades,5310
4 of Clubs,8 of Spades,4 of Diamonds | A of Clubs | K of Clubs | 7 of Spades | 2 of Diamonds,5530
6 of Clubs,A of Diamonds,4 of Clubs | 8 of Clubs | 5 of Diamonds | Q of Clubs | 9 of Clubs,1290
5 of Spades,K of Spades,6 of Hearts | Q of Spades | 8 of Hearts | 4 of Hearts | 6 of Spades,5144
4 of Diamonds,7 of Hearts,3 of Diamonds | 8 of Diamonds | 5 of Spades | 10 of Hearts | 3 of Clubs,5916
K of Clubs,5 of Spades,6 of Clubs | J of Spades | Q of Clubs | J of Diamonds | 8 of Clubs,4043
5 of Spades,10 of Spades,5 of Clubs | 3 of Spades | Q of Clubs | 7 of Diamonds | 8 of Clubs,5415
5 of Spades,J of Clubs,8 of Clubs | 4 of Diamonds | 3 of Clubs | 4 of Hearts | 9 of Diamonds,5669
4 of Clubs,2 of Clubs,Q of Clubs | 9 of Diamonds | 9 of Spades | 5 of Hearts | 8 of Diamonds,4543
7 of Spades,4 of Clubs,5 of Hearts | 6 of Spades | 7 of Hearts | 6 of Diamonds | 3 of Hearts,1607
7 of Hearts,A of Hearts,10 of Clubs | A of Diamonds | Q of Clubs | 5 of Diamonds | Q of Diamonds,2481
K of Hearts,4 of Hearts,9 of Clubs | 2 of Spades | J of Clubs | A of Hearts | 8 of Diamonds,6238
4 of Diamonds,8 of Hearts,9 of Diamonds | 4 of Clubs | 6 of Hearts | 10 of Diamonds | 6 of Diamonds,3231
8 of Hearts,K of Diamonds,7 of Spades | J of Diamonds | 10 of Diamonds | A of Hearts | 3 of Spades,6231
7 of Diamonds,5 of Hearts,3 of Spades | J of Clubs | A of Diamonds | 9 of Clubs | Q of Clubs,6359
J of Spades,9 of Clubs,6 of Clubs | J of Clubs | 4 of Diamonds | 5 of Clubs | 10 of Spades,4124
6 of Hearts,J of Clubs,8 of Hearts | 9 of Hearts | K of Hearts | 10 of Spades | 7 of Diamonds,1603
J of Spades,8 of Diamonds,6 of Clubs | 5 of Diamonds | 5 of Spades | Q of Clubs | 6 of Spades,3218
A of Hearts,9 of Clubs,J of Hearts | 2 of Spades | Q of Diamonds | 2 of Diamonds | 6 of Hearts,5976
8 of Diamonds,10 of Spades,3 of Spades | 3 of Hearts | J of Diamonds | 10 of Hearts | 3 of Clubs,303
J of Spades,5 of Clubs,7 of Spades | 7 of Hearts | 4 of Clubs | 4 of Hearts | 9 of Hearts,3186
9 of Clubs,A of Diamonds,7 of Clubs | 7 of Hearts | J of Spades | 2 of Clubs | 9 of Diamonds,3029
3 of Clubs,4 of Spades,K of Diamonds | 8 of Clubs | 9 of Clubs | K of Spades | K of Hearts,1714
4 of Clubs,J of Clubs,2 of Diamonds | 7 of Clubs | 4 of Hearts | 10 of Spades | 7 of Spades,3186
7 of Spades,10 of Hearts,4 of Spades | J of Clubs | J of Hearts | A of Hearts | K of Clubs,3987
2 of Clubs,10 of Hearts,6 of Clubs | K of Hearts | 9 of Spades | A of Clubs | 4 of Spades,6268
5 of Spades,7 of Spades,A of Clubs | 10 of Hearts | 7 of Diamonds | J of Hearts | 2 of Diamonds,4885
2 of Hearts,10 of Spades,J of Hearts | 8 of Clubs | 6 of Diamonds | 8 of Spades | Q of Diamonds,4746
4 of Hearts,4 of Diamonds,K of Hearts | K of Clubs | 9 of Spades | 9 of Diamonds | K of Diamonds,183
3 of Hearts,9 of Spades,3 of Diamonds | 9 of Hearts | J of Spades | 5 of Hearts | 10 of Spades,3076
K of Spades,K of Diamonds,7 of Clubs | 4 of Clubs | K of Clubs | 4 of Hearts | 4 of Spades,188
J of Spades,A of Spades,2 of Spades | 8 of Diamonds | 10 of Spades | 8 of Hearts | A of Clubs,2525
5 of Hearts,K of Diamonds,A of Spades | Q of Hearts | 9 of Spades | 10 of Spades | 2 of Clubs,6194
7 of Hearts,7 of Clubs,8 of Hearts | 5 of Spades | 9 of Hearts | J of Hearts | K of Spades,4931
8 of Clubs,6 of Clubs,3 of Hearts | J of Clubs | 5 of Spades | Q of Diamonds | Q of Hearts,3882
7 of Clubs,7 of Spades,6 of Diamonds | 5 of Hearts | 9 of Hearts | 4 of Spades | J of Diamonds,5010
2 of Spades,K of Spades,5 of Hearts | 8 of Clubs | 4 of Diamonds | 10 of Spades | 6 of Clubs,6908
3 of Spades,5 of Diamonds,10 of Spades | 9 of Diamonds | 3 of Clubs | 6 of Hearts | 7 of Clubs,5911
Q of Diamonds,4 of Spades,K of Diamonds | J of Hearts | 2 of Clubs | Q of Spades | 10 of Clubs,3821
3 of Diamonds,K of Diamonds,8 of Hearts | 9 of Diamonds | 10 of Diamonds | 5 of Clubs | J of Clubs,6798
2 of Clubs,7 of Diamonds,8 of Diamonds | A of Hearts | 4 of Clubs | 4 of Spades | A of Clubs,2572
Q of Diamonds,6 of Clubs,J of Diamonds | J of Clubs | 5 of Hearts | 7 of Spades | 5 of Clubs,2888
10 of Clubs,4 of Spades,9 of Diamonds | J of Hearts | Q of Hearts | 5 of Clubs | 4 of Hearts,5626
9 of Clubs,8 of Hearts,9 of Diamonds | 8 of Spades | 10 of Hearts | 9 of Hearts | K of Clubs,232
J of Hearts,6 of Clubs,10 of Hearts | A of Spades | 7 of Hearts | 5 of Hearts | 5 of Clubs,5325
7 of Hearts,6 of Diamonds,2 of Clubs | A of Diamonds | 4 of Clubs | Q of Hearts | 9 of Hearts,6420
K of Spades,5 of Hearts,8 of Spades | 7 of Diamonds | 3 of Diamonds | 10 of Spades | 2 of Hearts,6904
2 of Spades,8 of Clubs,2 of Clubs | 10 of Diamonds | J of Clubs | 8 of Diamonds | 6 of Hearts,3153
3 of Diamonds,2 of Spades,3 of Hearts | 5 of Hearts | 3 of Clubs | 6 of Diamonds | 4 of Spades,1608
3 of Diamonds,Q of Hearts,A of Hearts | 9 of Hearts | 6 of Spades | 4 of Spades | 7 of Diamonds,6420
6 of Diamonds,J of Diamonds,5 of Hearts | A of Hearts | K of Clubs | 9 of Spades | 8 of Hearts,6238
A of Spades,K of Diamonds,K of Hearts | J of Diamonds | 3 of Diamonds | J of Hearts | 2 of Diamonds,2611
A of Clubs,7 of Clubs,4 of Spades | K of Diamonds | 10 of Clubs | J of Diamonds | A of Spades,3336
A of Spades,K of Spades,J of Spades | K of Diamonds | 5 of Spades | 4 of Hearts | J of Clubs,2611
J of Diamonds,6 of Spades,K of Spades | 8 of Diamonds | 2 of Diamonds | K of Hearts | 8 of Hearts,2646
2 of Diamonds,5 of Hearts,A of Hearts | Q of Diamonds | 3 of Hearts | 6 of Diamonds | J of Diamonds,6376
2 of Hearts,7 of Diamonds,3 of Clubs | 8 of Clubs | 5 of Diamonds | 10 of Spades | 7 of Hearts,5037
Q of Hearts,4 of Diamonds,J of Spades | 9 of Clubs | K of Spades | 7 of Spades | 7 of Diamonds,4921
8 of Clubs,6 of Hearts,J of Spades | 2 of Hearts | Q of Diamonds | 3 of Spades | 7 of Clubs,7056
8 of Diamonds,9 of Clubs,K of Spades | 10 of Hearts | 3 of Clubs | 5 of Clubs | A of Diamonds,6266
Q of Clubs,9 of Clubs,3 of Clubs | A of Clubs | A of Hearts | 8 of Hearts | Q of Diamonds,2482
4 of Clubs,2 of Hearts,7 of Clubs | 7 of Diamonds | 4 of Spades | 2 of Clubs | 3 of Diamonds,3192
J of Clubs,5 of Hearts,2 of Clubs | A of Hearts | 5 of Diamonds | 4 of Spades | 6 of Diamonds,5329
8 of Diamonds,5 of Spades,3 of Diamonds | 2 of Diamonds | Q of Hearts | 7 of Clubs | K of Diamonds,6764
Q of Clubs,10 of Diamonds,K of Spades | 4 of Clubs | 5 of Spades | J of Spades | 2 of Diamonds,6682
9 of Spades,2 of Clubs,10 of Spades | 3 of Diamonds | K of Spades | 4 of Diamonds | K of Diamonds,3686
10 of Diamonds,A of Hearts,7 of Hearts | Q of Diamonds | 8 of Spades | 10 of Hearts | K of Diamonds,4206
5 of Diamonds,K of Diamonds,A of Spades | 9 of Clubs | 10 of Diamonds | 2 of Clubs | 5 of Spades,5308
A of Hearts,J of Hearts,8 of Clubs | Q of Diamonds | A of Clubs | 10 of Spades | 6 of Spades,3381
K of Diamonds,2 of Clubs,9 of Diamonds | 8 of Diamonds | 6 of Clubs | Q of Clubs | 4 of Hearts,6743
2 of Hearts,K of Hearts,5 of Hearts | 9 of Hearts | 5 of Spades | Q of Spades | 8 of Clubs,5363
9 of Spades,8 of Hearts,7 of Hearts | 4 of Diamonds | J of Hearts | 2 of Diamonds | 4 of Clubs,5669
5 of Spades,A of Hearts,7 of Hearts | 2 of Clubs | 9 of Diamonds | 10 of Spades | 5 of Clubs,5333
9 of Hearts,4 of Hearts,2 of Spades | Q of Clubs | 6 of Hearts | J of Spades | 6 of Spades,5187
6 of Clubs,8 of Clubs,6 of Spades | 7 of Clubs | K of Diamonds | 2 of Diamonds | 4 of Spades,5171
9 of Clubs,9 of Hearts,3 of Diamonds | 8 of Hearts | J of Clubs | J of Spades | K of Diamonds,2843
Q of Diamonds,3 of Clubs,9 of Spades | Q of Clubs | 2 of Clubs | 7 of Diamonds | A of Spades,3794
A of Diamonds,8 of Diamonds,Q of Hearts | 7 of Hearts | 9 of Clubs | 10 of Clubs | 3 of Spades,6386
K of Hearts,A of Diamonds,6 of Hearts | 9 of Spades | 8 of Clubs | 6 of Diamonds | A of Clubs,2545
8 of Spades,5 of Clubs,J of Spades | 2 of Spades | Q of Spades | Q of Diamonds | K of Clubs,3823
Q of Hearts,A of Hearts,7 of Clubs | A of Clubs | K of Clubs | 8 of Spades | 7 of Spades,2534
3 of Spades,5 of Spades,4 of Diamonds | 9 of Clubs | 8 of Hearts | A of Spades | 2 of Spades,1609
6 of Clubs,8 of Spades,Q of Diamonds | 8 of Clubs | J of Spades | 9 of Spades | 2 of Diamonds,4747
3 of Clubs,8 of Spades,J of Hearts | 3 of Spades | 6 of Spades | Q of Spades | 7 of Clubs,5848
Q of Spades,7 of Clubs,5 of Hearts | Q of Hearts | J of Diamonds | A of Spades | 8 of Diamonds,3778
10 of Clubs,Q of Diamonds,8 of Diamonds | A of Clubs | 3 of Clubs | 4 of Clubs | 6 of Diamonds,6394
6 of Diamonds,2 of Hearts,A of Clubs | 4 of Diamonds | 2 of Clubs | A of Hearts | 5 of Spades,2596
A of Hearts,10 of Spades,5 of Spades | 6 of Diamonds | 8 of Diamonds | Q of Clubs | 7 of Hearts,6393
9 of Clubs,2 of Spades,10 of Spades | 8 of Clubs | 9 of Diamonds | A of Spades | J of Diamonds,4445
K of Clubs,3 of Clubs,4 of Diamonds | A of Diamonds | J of Hearts | 5 of Diamonds | K of Diamonds,3561
A of Spades,3 of Spades,8 of Spades | 9 of Hearts | 2 of Hearts | K of Diamonds | A of Diamonds,3353
J of Clubs,9 of Spades,6 of Hearts | A of Hearts | 4 of Diamonds | J of Hearts | 7 of Spades,4014
K of Clubs,8 of Hearts,2 of Clubs | 9 of Hearts | 3 of Hearts | A of Hearts | 2 of Spades,5969
6 of Hearts,A of Hearts,5 of Clubs | 5 of Spades | A of Spades | 7 of Hearts | 9 of Diamonds,2560
Q of Clubs,4 of Clubs,4 of Diamonds | 3 of Spades | 6 of Spades | 9 of Diamonds | J of Diamonds,5627
2 of Hearts,J of Hearts,5 of Diamonds | A of Diamonds | 5 of Clubs | K of Diamonds | 10 of Clubs,5307
8 of Diamonds,10 of Hearts,J of Hearts | 6 of Spades | A of Clubs | 7 of Diamonds | 2 of Clubs,6477
7 of Spades,J of Diamonds,8 of Clubs | A of Clubs | Q of Clubs | K of Hearts | 3 of Clubs,6187
4 of Diamonds,6 of Spades,2 of Hearts | 8 of Diamonds | 7 of Spades | 10 of Hearts | 9 of Hearts,1604
5 of Clubs,K of Diamonds,2 of Spades | 4 of Hearts | K of Hearts | 3 of Clubs | 6 of Spades,1608
K of Spades,6 of Clubs,2 of Spades | Q of Spades | 10 of Hearts | Q of Hearts | 4 of Hearts,3833
J of Spades,A of Spades,4 of Spades | 7 of Diamonds | 5 of Hearts | 6 of Hearts | 8 of Diamonds,1606
10 of Clubs,K of Hearts,9 of Diamonds | 4 of Diamonds | 2 of Clubs | A of Diamonds | 3 of Hearts,6270
4 of Diamonds,J of Clubs,10 of Clubs | 7 of Clubs | 5 of Spades | K of Diamonds | 4 of Clubs,5590
7 of Hearts,A of Clubs,5 of Clubs | A of Spades | Q of Spades | K of Hearts | 3 of Clubs,3330
7 of Diamonds,8 of Hearts,4 of Spades | 7 of Clubs | 3 of Diamonds | 2 of Clubs | Q of Clubs,4989
2 of Hearts,5 of Spades,6 of Spades | 7 of Spades | Q of Spades | K of Spades | 2 of Spades,915
9 of Diamonds,8 of Spades,J of Clubs | 5 of Diamonds | 3 of Clubs | 2 of Clubs | A of Diamonds,6500
6 of Hearts,A of Spades,Q of Hearts | 4 of Hearts | 6 of Diamonds | 8 of Diamonds | 10 of Hearts,5097
6 of Clubs,A of Diamonds,J of Clubs | 7 of Spades | 10 of Hearts | Q of Spades | 5 of Diamonds,6352
2 of Diamonds,6 of Diamonds,A of Spades | 5 of Spades | K of Hearts | 10 of Clubs | 10 of Spades,4211
3 of Clubs,9 of Clubs,K of Hearts | Q of Diamonds | A of Spades | A of Clubs | J of Spades,3326
3 of Hearts,5 of Clubs,2 of Diamonds | 3 of Clubs | K of Clubs | 3 of Spades | 6 of Diamonds,2353
8 of Hearts,A of Hearts,J of Diamonds | 9 of Spades | 6 of Hearts | Q of Diamonds | 2 of Spades,6358
K of Diamonds,8 of Diamonds,Q of Diamonds | A of Hearts | 3 of Hearts | 2 of Hearts | 9 of Clubs,6202
A of Spades,10 of Clubs,7 of Diamonds | 9 of Diamonds | J of Clubs | 4 of Diamonds | K of Clubs,6230
2 of Clubs,10 of Diamonds,10 of Clubs | K of Spades | 9 of Spades | 8 of Diamonds | 9 of Clubs,2931
9 of Diamonds,8 of Clubs,10 of Spades | 8 of Spades | 9 of Spades | K of Spades | 3 of Hearts,3019
7 of Diamonds,Q of Diamonds,A of Clubs | 5 of Clubs | 9 of Diamonds | A of Diamonds | 10 of Diamonds,524
6 of Hearts,2 of Diamonds,J of Clubs | 6 of Spades | 9 of Hearts | 4 of Hearts | A of Clubs,5106
K of Spades,Q of Diamonds,8 of Clubs | 2 of Hearts | A of Diamonds | 8 of Diamonds | 4 of Hearts,4646
3 of Spades,7 of Hearts,3 of Hearts | 4 of Diamonds | K of Diamonds | Q of Clubs | 4 of Hearts,3294
5 of Diamonds,A of Hearts,Q of Diamonds | Q of Clubs | 4 of Clubs | 2 of Diamonds | 5 of Spades,2787
10 of Hearts,7 of Spades,8 of Clubs | 5 of Hearts | 6 of Hearts | A of Clubs | J of Hearts,6477
K of Spades,J of Hearts,10 of Clubs | 9 of Hearts | A of Spades | 2 of Hearts | 10 of Hearts,4207
8 of Clubs,6 of Hearts,2 of Clubs | J of Spades | A of Diamonds | 6 of Spades | A of Hearts,2547
5 of Clubs,10 of Clubs,10 of Diamonds | 7 of Hearts | 9 of Hearts | 3 of Diamonds | 6 of Spades,4376
4 of Diamonds,5 of Diamonds,2 of Spades | A of Diamonds | 3 of Spades | 10 of Spades | J of Clubs,1609
9 of Hearts,2 of Diamonds,K of Hearts | 6 of Diamonds | A of Hearts | 3 of Clubs | 5 of Spades,6305
K of Spades,3 of Hearts,10 of Clubs | Q of Spades | 2 of Diamonds | 3 of Spades | 2 of Clubs,3316
Q of Hearts,10 of Diamonds,4 of Spades | A of Spades | J of Clubs | 4 of Hearts | 9 of Diamonds,5536
8 of Spades,8 of Hearts,10 of Clubs | 9 of Hearts | 10 of Diamonds | 4 of Diamonds | 2 of Spades,2945
10 of Hearts,6 of Spades,K of Diamonds | 3 of Spades | Q of Clubs | Q of Spades | 3 of Diamonds,2810
8 of Hearts,J of Hearts,2 of Spades | A of Spades | 8 of Spades | 2 of Hearts | 7 of Spades,3150
3 of Clubs,2 of Diamonds,3 of Hearts | 5 of Hearts | 6 of Hearts | Q of Clubs | A of Clubs,5761
4 of Hearts,5 of Clubs,10 of Clubs | 8 of Clubs | J of Hearts | Q of Clubs | 6 of Diamonds,7015
3 of Spades,3 of Diamonds,J of Hearts | 7 of Diamonds | 5 of Hearts | 6 of Hearts | 6 of Clubs,3241
7 of Spades,Q of Clubs,4 of Clubs | 8 of Hearts | 3 of Hearts | K of Hearts | 6 of Spades,6763
2 of Clubs,Q of Spades,A of Spades | K of Spades | 6 of Diamonds | 3 of Hearts | J of Clubs,6189
10 of Diamonds,A of Hearts,5 of Hearts | 8 of Diamonds | 5 of Spades | 7 of Clubs | 3 of Diamonds,5334
5 of Hearts,J of Spades,A of Spades | 10 of Clubs | 7 of Clubs | A of Diamonds | 7 of Spades,2536
5 of Hearts,A of Spades,9 of Hearts | K of Diamonds | 8 of Diamonds | 4 of Clubs | 7 of Hearts,6294
4 of Clubs,7 of Spades,5 of Clubs | 2 of Spades | 5 of Spades | 3 of Clubs | 10 of Spades,5482
4 of Spades,7 of Clubs,Q of Hearts | 4 of Hearts | 7 of Hearts | 10 of Clubs | 2 of Hearts,3185
9 of Hearts,K of Diamonds,10 of Hearts | 4 of Spades | 10 of Diamonds | 6 of Clubs | 5 of Hearts,4280
4 of Diamonds,5 of Spades,A of Spades | Q of Spades | 8 of Hearts | 8 of Spades | A of Clubs,2524
8 of Spades,K of Diamonds,9 of Clubs | 6 of Spades | 4 of Clubs | A of Spades | 10 of Diamonds,6266
10 of Hearts,4 of Clubs,2 of Hearts | A of Diamonds | 9 of Diamonds | 5 of Spades | 9 of Spades,4456
A of Diamonds,K of Spades,9 of Clubs | 8 of Spades | 5 of Spades | 5 of Clubs | 2 of Hearts,5309
7 of Clubs,K of Spades,4 of Clubs | 3 of Diamonds | 6 of Diamonds | 2 of Diamonds | 6 of Clubs,5177
5 of Spades,A of Clubs,4 of Clubs | K of Spades | 10 of Hearts | 6 of Clubs | 10 of Clubs,4211
A of Hearts,Q of Spades,8 of Diamonds | 10 of Clubs | 2 of Clubs | 10 of Spades | J of Spades,4216
9 of Hearts,Q of Clubs,Q of Spades | 3 of Clubs | A of Diamonds | J of Spades | 3 of Diamonds,2809
6 of Spades,A of Hearts,4 of Spades | A of Diamonds | K of Clubs | Q of Hearts | 8 of Hearts,3329
6 of Clubs,8 of Hearts,K of Spades | Q of Diamonds | 5 of Hearts | 10 of Clubs | A of Clubs,6195
4 of Clubs,8 of Clubs,5 of Diamonds | 3 of Diamonds | J of Diamonds | 2 of Diamonds | 9 of Clubs,7281
2 of Hearts,A of Spades,3 of Hearts | J of Spades | J of Diamonds | 8 of Clubs | 3 of Spades,2908
5 of Diamonds,4 of Hearts,A of Clubs | 3 of Hearts | 4 of Clubs | 2 of Clubs | Q of Diamonds,1609
A of Hearts,7 of Diamonds,6 of Spades | 3 of Hearts | 8 of Spades | K of Spades | 5 of Spades,6315
7 of Hearts,5 of Hearts,9 of Spades | A of Spades | J of Diamonds | 3 of Spades | 5 of Spades,5326
4 of Spades,K of Clubs,6 of Clubs | 2 of Diamonds | K of Hearts | 8 of Spades | 4 of Hearts,2693
8 of Diamonds,K of Spades,9 of Clubs | 6 of Clubs | Q of Diamonds | 10 of Hearts | 4 of Clubs,6714
9 of Hearts,3 of Hearts,9 of Diamonds | 8 of Spades | 4 of Clubs | J of Diamonds | 2 of Diamonds,4572
J of Diamonds,5 of Hearts,5 of Clubs | 2 of Hearts | J of Clubs | A of Spades | 5 of Diamonds,278
J of Diamonds,Q of Spades,K of Diamonds | 6 of Clubs | K of Clubs | 9 of Hearts | 5 of Diamonds,3602
5 of Diamonds,4 of Clubs,10 of Diamonds | 7 of Spades | 7 of Hearts | 3 of Hearts | 5 of Clubs,3176
6 of Clubs,J of Spades,K of Spades | 9 of Clubs | K of Clubs | 3 of Clubs | 10 of Spades,3646
A of Clubs,5 of Hearts,K of Hearts | J of Clubs | 3 of Hearts | 6 of Diamonds | 10 of Hearts,6233
Q of Diamonds,6 of Clubs,K of Diamonds | A of Hearts | 5 of Clubs | 7 of Spades | 7 of Clubs,4866
A of Clubs,7 of Spades,8 of Clubs | 10 of Diamonds | K of Diamonds | 5 of Hearts | 8 of Diamonds,4648
8 of Clubs,K of Spades,5 of Diamonds | 7 of Clubs | 8 of Spades | 2 of Clubs | 10 of Spades,4719
3 of Diamonds,J of Hearts,5 of Hearts | 10 of Spades | 3 of Hearts | 3 of Spades | Q of Hearts,2357
4 of Spades,7 of Diamonds,K of Spades | Q of Diamonds | 8 of Diamonds | 5 of Spades | 9 of Clubs,6742
9 of Spades,7 of Clubs,4 of Diamonds | 3 of Spades | 2 of Diamonds | 7 of Diamonds | 4 of Spades,3188
9 of Diamonds,3 of Clubs,K of Diamonds | 3 of Spades | 10 of Hearts | 9 of Spades | A of Diamonds,3073
3 of Clubs,K of Hearts,4 of Hearts | 8 of Diamonds | 4 of Clubs | J of Clubs | 8 of Spades,3129
10 of Clubs,Q of Diamonds,8 of Clubs | 9 of Hearts | J of Spades | 9 of Diamonds | K of Spades,1601
4 of Spades,8 of Hearts,9 of Clubs | 6 of Diamonds | K of Clubs | 4 of Diamonds | 7 of Diamonds,5605
10 of Spades,A of Hearts,Q of Diamonds | 5 of Spades | 6 of Clubs | 4 of Hearts | 5 of Clubs,5317
5 of Diamonds,Q of Hearts,A of Diamonds | 9 of Spades | 4 of Diamonds | K of Spades | 5 of Spades,5306
A of Clubs,K of Spades,J of Clubs | Q of Spades | 10 of Spades | 6 of Diamonds | 9 of Diamonds,1600
A of Diamonds,K of Spades,2 of Spades | 9 of Spades | A of Clubs | 7 of Clubs | A of Hearts,1613
6 of Hearts,3 of Diamonds,6 of Clubs | 10 of Diamonds | K of Spades | 5 of Spades | J of Clubs,5150
4 of Hearts,K of Spades,9 of Diamonds | 3 of Clubs | 2 of Diamonds | 7 of Diamonds | 7 of Spades,4948
8 of Spades,A of Hearts,Q of Diamonds | 5 of Spades | A of Clubs | 7 of Hearts | 9 of Hearts,3398
3 of Hearts,8 of Diamonds,K of Diamonds | 6 of Spades | 3 of Clubs | 4 of Spades | 10 of Spades,5819
2 of Hearts,J of Diamonds,8 of Diamonds | 2 of Spades | 4 of Diamonds | 7 of Diamonds | 10 of Hearts,6103
4 of Diamonds,7 of Clubs,J of Clubs | 7 of Spades | 3 of Diamonds | 6 of Hearts | Q of Hearts,4969
4 of Spades,J of Spades,6 of Clubs | 10 of Clubs | 5 of Hearts | Q of Diamonds | 7 of Diamonds,7020
2 of Hearts,9 of Spades,K of Clubs | Q of Diamonds | J of Clubs | A of Clubs | 7 of Diamonds,6186
3 of Diamonds,3 of Spades,Q of Spades | Q of Clubs | 4 of Hearts | 4 of Clubs | 2 of Diamonds,2807
4 of Clubs,6 of Diamonds,Q of Hearts | A of Diamonds | K of Clubs | 5 of Clubs | 10 of Clubs,6197
10 of Diamonds,J of Clubs,7 of Spades | 6 of Hearts | J of Spades | 10 of Hearts | 8 of Hearts,2835
J of Diamonds,9 of Diamonds,5 of Clubs | A of Diamonds | 2 of Diamonds | 5 of Hearts | 7 of Hearts,5326
